"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","B Street","Drivers: 2","Trophies: 1","Run Heat: 3","M","T","1.00","77","","Steve Davis","2021 Chevrolet Camaro SS 1LE","","65.385","62.321","61.387","63.504","","63.022","118.169","","","","","","59.064","58.316","58.330","59.049(1)","56.782","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","2.00","23","","Gus Jacob","2014 Porsche Cayman","","64.218(1)","62.097","61.745","61.566","","62.366","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","C Street","Drivers: 3","Trophies: 1","Run Heat: 2","","T","1.00","66","","Julio Serra","2011 Mazda Miata","","69.010","63.352","62.446","66.542","","63.829","120.093","","","","","","60.263","59.223","61.110(1)","57.647","58.042","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","2.00","44","","John Tinsley","2008 Mazda MX-5 Miata","","DNF","65.395","65.813","DNF","","66.768","125.880","","","","","(5.787)","DNF","64.675","61.099","61.212","60.485","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","3.00","53","","Shawn Reardon","2018 Mazda Miata","","67.904","66.339","64.761","69.481","","65.947","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","D Street","Drivers: 5","Trophies: 2","Run Heat: 1","","T","1.00","63","","Timothy Thompson","2016 Ford Focus RS","","59.639","58.529","59.553(1)","58.531","","67.640(1)","111.681","","","","","","58.490(1)","54.871","55.908(1)","53.701","53.152","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","2.00","216","","Michael Kopec"," Subaru Brz","","60.877","59.558","62.207(1)","59.824","","61.005(1)","113.644","","","","","(1.963)","55.748","54.822","54.535","DNF","54.086","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","3.00","99","","Brian Strack","2018 Volkswagen Golf R","","61.284","61.009(1)","60.158","60.523","","61.526(1)","113.800","","","","","(0.156)","55.734","54.340","DNF","53.642","56.541(1)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","4.00","13","","Zachary Smith","2015 Subaru WRX STI","","67.141(3)","62.685(1)","60.838","62.606(1)","","62.008","116.396","","","","","(2.596)","58.331","55.558","57.706(1)","55.648","57.583(1)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","5.00","96","","Kevin Minton","2020 Subaru WRX","","67.452","63.979","65.715","64.962","","65.647","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","D Street Ladies","Drivers: 2","Trophies: 1","Run Heat: 2","","T","1.00","63","","Crisanne Thompson","2016 Ford Focus RS","","DNF","68.881","65.696","71.672","","69.218","128.981","","","","","","64.364","63.929","63.285","63.854","63.330","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","2.00","99","","Penelope Strack","2018 Volkswagen Golf R","","DNS","DNS","DNS","DNS","","DNS","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","E Street","Drivers: 9","Trophies: 3","Run Heat: 3","M","T","1.00","3","","Emily Skoglund","2000 Mazda Miata","","DNS","DNS","DNS","DNS","","DNS"," 61.899","","","","","","64.590","61.899","65.443(2)","62.562(1)","63.162(1)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","2.00","77","","Jake Blum","2000 Mazda Miata","","60.880","59.519","59.155","61.833(1)","","62.091(1)","115.848","[177]","","","","(53.949)","57.603","61.802(2)","57.009","56.693","58.660","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","3.00","177","","Jonathan Newton","2000 Mazda Miata","","63.031","60.704","60.090","67.541(3)","","60.473","116.913","[77]","","","","(1.065)","59.507","59.836","57.349","57.721","56.823","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","4.00","18","","Thomas Cindrich","1999 Mazda Miata","","65.578(1)","61.463","61.584","61.802","","62.475","119.346","","","","","(2.433)","60.742","61.643(1)","57.883","63.547","58.131","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","5.00","99","","Theresa Walton","1999 Mazda Miata","","65.600(1)","62.143","61.691","63.638","","62.483","119.439","","","","","(0.093)","58.881","60.056","DNF","59.274","DNF","57.748","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","6.00","129","","Patrick Dent","1999 Mazda Miata","","65.538","62.737","62.994","63.275","","75.011(1)","122.422","[29]","","","","(2.983)","61.635","DNF","60.825","DNF","59.685","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","7.00","92","","Emilia Wright","2001 Mazda Miata","","67.259","64.795","65.538","67.488","","69.642(2)","128.193","","","","","(5.771)","64.256","64.793","64.242(1)","63.398(1)","","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","8.00","29","","William Maupin","1999 Mazda Miata","","75.227(3)","67.390","66.072","67.962(1)","","70.755(2)","129.001","[129]","","","","(0.808)","DNF","64.669","64.025","64.681(1)","62.929","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","9.00","71","","Steve Reardon","1999 Mazda Miata","","69.148","74.608","64.752","65.972","","64.512","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","F Street","Drivers: 5","Trophies: 2","Run Heat: 1","M","T","1.00","84","","Nick White","2010 BMW M3","","71.372","64.459","63.786","68.344","","64.937","122.856","","","","","","DNF","62.067","DNF","59.093","59.070","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","2.00","228","","Nathan Kowalski","2016 BMW 435i","","DNF","67.283","71.442(1)","69.375","","69.174","129.012","","","","","(6.156)","67.080","65.243","63.834","62.746","61.729","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","3.00","71","","Steven Ong","2002 Chevrolet Camaro","","83.375","68.128","67.409","71.313","","74.526(2)","129.777","","","","","(0.765)","68.227(1)","63.599","65.464","62.368","69.960(2)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","4.00","27","","Connor Sellers","2016 Cadillac Ats","","DNS","DNS","DNS","DNS","","DNS","No Time","[127]","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","5.00","127","","Alex Osborn","2016 Cadillac Ats","","DNS","DNS","DNS","DNS","","DNS","No Time","[27]","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","G Street","Drivers: 6","Trophies: 2","Run Heat: 3","M","T","1.00","22","","Erica Wells","2011 BWM 238 Wagon","","DNS","DNS","DNS","DNS","","DNS"," 67.560","","","","","","73.820","67.560","67.681","68.363","","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","T","2.00","33","","Matt Higgins","2003 BMW 330ci","","DNS","DNS","DNS","DNS","","DNS"," 67.936","","","","","(0.376)","80.130","72.227","73.031","67.937","67.936","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","3.00","19","","Chris Mertens","2011 Hyundai Genesis Coupe","","61.626","61.035","DNF","62.762(1)","","61.586","118.118","","","","","(50.182)","57.379","DNF","57.083","57.744(1)","59.896(1)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","4.00","67","","David Zemon","2016 Volkswagen GTI","","62.673","62.116","61.797","62.448","","66.342(2)","119.262","","","","","(1.144)","DNF","61.500(1)","DNF","59.626(1)","57.465","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","5.00","77","","Steve Fuller","2005 Saab 93","","DNS","DNS","DNS","DNS","","DNS","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","6.00","55","","Kyle Gyawali","2011 Mazda Mazdaspeed3/","","79.391","71.251","72.126(1)","72.447","","70.645","No Time","","","","","","DNS","DNS","DNS","DNS","DNS","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","G Street Ladies","Drivers: 2","Trophies: 1","Run Heat: 2","","T","1.00","29","","April Mertens","2011 Hyundai Genesis Coupe","","66.161(1)","DNF","62.480","65.274(1)","","70.493(4)","119.695","[129]","","","","","58.853","DNF","57.215","61.215(2)","65.368(4)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","2.00","129","","Katherina Schnardthorst","2011 Hyundai Genesis Coupe","","71.814","66.637","67.998(1)","69.962","","67.742","129.596","[29]","","","","(9.901)","65.133","64.690","64.573","62.959","63.702","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","H Street","Drivers: 6","Trophies: 2","Run Heat: 1","","T","1.00","52","","Monte Rans","2013 Mini Cooper","","63.589","60.828","60.910","62.109","","61.379","118.312","","","","","","59.334","58.042","57.580","57.484","58.453","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","T","2.00","96","","Doug Gill","2006 Honda Civic Si","","DNF","62.347","62.349","62.325","","61.721","118.400","[196]","","","","(0.088)","65.577","DNF","DNF","56.679","57.162","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","3.00","31","","Michael Glowicki","2013 Hyundai Veloster Turbo","","69.827","63.323","63.168","DNF","","65.073","123.605","","","","","(5.205)","70.916","DNF","63.190","63.016","60.437","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","4.00","42","","Abe Remsbecker","2020 Mazda 6/","","DNF","64.855","63.646","65.885","","67.526(1)","124.488","","","","","(0.883)","64.705","62.515","60.842","60.994","61.075","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","","","5.00","196","","Lori Gill","2006 Honda Civic Si","","DNF","67.184","73.810(2)","71.874(1)","","74.204(2)","131.408","[96]","","","","(6.920)","70.266(1)","67.406","69.173(1)","64.883","64.224","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","","6.00","27","","Peter Koenig","2008 Mazda Mazda3","","DNS","DNS","DNS","DNS","","DNS","No Time","","","","","","66.788","63.358","63.008","62.312","67.124(2)","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","Street Touring Hatch","Drivers: 10","Trophies: 4","Run Heat: 2","","T","1.00","76","","Rich Dao","2014 VW Tiguan","","DNS","DNS","DNS","DNS","","DNS"," 58.659","","","","","","67.986(1)","59.957","58.659","62.022(2)","DNF","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
"Results","St Louis Region SCCA Events 4 & 5
2-Day Mid-Div
06/26/2021 - 06/27/2021","www.ProntoTimingSystem.com","Pos","Nbr","Driver's name, Town","Car, Sponsor","Tire,Index","Course 1, Course 2","Time","M","T","2.00","111","","Richard Lober","2019 VW GTI","","DNS","DNS","DNS","DNS","","DNS"," 61.650","","","","","(2.991)","65.456","61.650","63.956(1)","61.725","DNF","","","","","","","","","","","","","","","","","","","","6/27/2021   5:09:33PM","Pronto Timing System","Page 1 of 1"
